id	title	year	length	tot_dubbio	cosa_esitazione	cosa_negazione	cosa_riformulazione	come_esitazione	come_negazione	come_riformulazione	senso_esitazione	senso_negazione	senso_riformulazione	perc_dubbio	mds_x	mds_y
S004	Angoscia in caserma	1945	19473	794	0.5000000000	0.1111111111	0.0000000000	0.0000000000	0.0000000000	0.1111111111	0.1666666667	0.0000000000	0.1111111111	4.0774405587	0.00801149633	-0.02784433559
S005	Andato al comando	1946	10457	251	0.6000000000	0.0000000000	0.2000000000	0.0000000000	0.0000000000	0.0000000000	0.2000000000	0.0000000000	0.0000000000	2.4003060151	0.06661702898	-0.0253218623
S006	Di padre in figlio	1946	8291	246	0.5000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.5000000000	2.9670727295	0.02812747128	-0.01683306947
S007	Paura sul sentiero	1946	13175	953	0.7894736842	0.1578947368	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0526315789	7.2333965844	0.03904951138	-0.06036891896
S009	Uomo nei gerbidi	1946	9042	300	0.0000000000	0.7500000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.2500000000	3.3178500332	-0.004934980696	0.06658829911
S010	Campo di mine	1946	9702	1029	0.4347826087	0.1739130435	0.0000000000	0.0000000000	0.0000000000	0.0869565217	0.1304347826	0.0869565217	0.0869565217	10.6060606061	-0.06089300262	-0.05666358484
S011	I fratelli Bagnasco	1946	9240	121	1.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	1.3095238095	0.0931909387	-0.05896729287
S012	Ragionamento del cugino	1946	7490	12	0.0000000000	0.0000000000	0.0000000000	0.0000000000	1.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.1602136182	0.07767042818	0.0730493179
S014	Alba sui rami nudi	1947	13871	669	0.7142857143	0.1428571429	0.0000000000	0.0000000000	0.0000000000	0.0714285714	0.0000000000	0.0000000000	0.0714285714	4.8230120395	0.03111433687	-0.04854802807
S015	Come non fui Noè (Buon a nulla)	1947	9027	470	0.4444444444	0.1111111111	0.2222222222	0.0000000000	0.0000000000	0.1111111111	0.0000000000	0.0000000000	0.1111111111	5.2066024150	0.01194545524	-0.005670449161
S016	Ultimo viene il corvo	1947	10809	1069	0.7500000000	0.2000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0500000000	0.0000000000	0.0000000000	9.8899065593	0.03386860824	-0.06613695284
S017	Visti alla mensa	1947	8658	64	0.5000000000	0.5000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.7392007392	0.05163477422	-0.03781845579
S018	L'occhio del padrone	1947	10063	16	1.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.1589983106	0.09562514867	-0.05974123176
S019	Come un volo d'anitre	1947	11326	23	1.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.2030725764	0.09556033468	-0.05967769354
S020	La fame a Bévera	1947	11391	34	1.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.2984812571	0.09541523166	-0.05953758145
S021	Furto in una pasticceria	1947	14106	229	0.6000000000	0.2000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.2000000000	0.0000000000	0.0000000000	1.6234226570	0.04860198482	-0.04457830257
S022	Un bastimento carico di granchi	1947	9906	252	0.5000000000	0.0000000000	0.5000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	2.5439127801	0.0852735726	-0.0000167324312
S023	I figli poltroni	1948	9860	243	0.6666666667	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.3333333333	0.0000000000	0.0000000000	2.4645030426	0.07155146621	-0.04669211841
S024	Il giardino incantato	1948	8487	293	1.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	3.4523388712	0.08626716953	-0.06049190885
S026	Il bosco degli animali	1948	15495	223	0.0000000000	0.0000000000	1.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	1.4391739271	0.0960110655	0.1193665086
S027	Si dorme come cani	1948	12910	42	1.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.3253292022	0.09537145199	-0.05950278668
