id,title,length,year,come-dubbio-boolean,come-negazione-boolean,come-riformulazione-boolean,cosa-dubbio-boolean,cosa-negazione-boolean,cosa-riformulazione-boolean,senso-dubbio-boolean,senso-negazione-boolean,senso-riformulazione-boolean,come-dubbio,come-negazione,come-riformulazione,cosa-dubbio,cosa-negazione,cosa-riformulazione,senso-dubbio,senso-negazione,senso-riformulazione,V1,V2
S004,Angoscia in caserma,19473,1945,0,0,1,1,1,0,1,0,1,0,0,0.1111111111,0.5,0.1111111111,0,0.1666666667,0,0.1111111111,0.08259053,0.12070535
S005,Andato al comando,10457,1946,0,0,0,1,0,1,1,0,0,0,0,0,0.6,0,0.2,0.2,0,0,-0.1675895,0.24728671
S006,Di padre in figlio,8291,1946,0,0,0,1,0,0,0,0,1,0,0,0,0.5,0,0,0,0,0.5,-0.2165731,-0.0904604
S007,Paura sul sentiero,13175,1946,0,0,0,1,1,0,0,0,1,0,0,0,0.7894736842,0.1578947368,0,0,0,0.05263157895,-0.1182107,-0.0499812
S009,Uomo nei gerbidi,9042,1946,0,0,0,0,1,0,0,0,1,0,0,0,0,0.75,0,0,0,0.25,-0.209877,-0.0621058
S010,Campo di mine,9702,1946,0,0,1,1,1,0,1,1,1,0,0,0.08695652174,0.4347826087,0.1739130435,0,0.1304347826,0.08695652174,0.08695652174,0.19773365,0.08991645
S011,I fratelli Bagnasco,9240,1946,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.3579855,-0.0668223
S012,Ragionamento del cugino,7490,1946,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.4252953,-0.1770278
S014,Alba sui rami nudi,13871,1947,0,0,1,1,1,0,0,0,1,0,0,0.07142857143,0.7142857143,0.1428571429,0,0,0,0.07142857143,0.00440995,-0.107389
S015,Come non fui Noè (Buon a nulla),9027,1947,0,0,1,1,1,1,0,0,1,0,0,0.1111111111,0.4444444444,0.1111111111,0.2222222222,0,0,0.1111111111,0.08535695,-0.0734459
S016,Ultimo viene il corvo,10809,1947,0,0,0,1,1,0,1,0,0,0,0,0,0.75,0.2,0,0.05,0,0,-0.1738369,0.22658999
S017,Visti alla mensa,8658,1947,0,0,0,1,1,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,-0.2473579,-0.0245459
S018,L'occhio del padrone,10063,1947,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.3579855,-0.0668223
S019,Come un volo d'anitre,11326,1947,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.3579855,-0.0668223
S020,La fame a Bévera,11391,1947,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.3579855,-0.0668223
S021,Furto in una pasticceria,14106,1947,0,0,0,1,1,0,1,0,0,0,0,0,0.6,0.2,0,0.2,0,0,-0.1738369,0.22658999
S022,Un bastimento carico di granchi,9906,1947,0,0,0,1,0,1,0,0,0,0,0,0,0.5,0,0.5,0,0,0,-0.2403841,-0.0204665
S023,I figli poltroni,9860,1948,0,0,0,1,0,0,1,0,0,0,0,0,0.6666666667,0,0,0.3333333333,0,0,-0.2794328,0.21356876
S024,Il giardino incantato,8487,1948,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.3579855,-0.0668223
S026,Il bosco degli animali,15495,1948,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-0.3492106,-0.0349734
S027,Si dorme come cani,12910,1948,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.3579855,-0.0668223
S028,Com'era grande il mare,3554,1948,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.3579855,-0.0668223
S029,Il gatto e il poliziotto,12933,1948,0,0,0,1,1,0,1,0,0,0,0,0,0.7857142857,0.1428571429,0,0.07142857143,0,0,-0.1738369,0.22658999
S030,Pranzo con un pastore,14313,1948,0,0,0,1,1,1,1,0,1,0,0,0,0.25,0.25,0.25,0.1666666667,0,0.08333333333,0.03961892,0.21119445
S031,Voglia di mare,5327,1948,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.3627644,-0.0378739
S033,Chi ha messo la mina nel mare?,10473,1948,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-0.3492106,-0.0349734
S035,Freddo a Napoli,8005,1949,0,0,0,1,1,0,0,0,0,0,0,0,0.75,0.25,0,0,0,0,-0.2473579,-0.0245459
S036,Lasciare Anna,9089,1949,1,0,0,1,1,0,0,0,0,0.1,0,0,0.5,0.4,0,0,0,0,-0.1617687,-0.1224684
S037,"Un pomeriggio, Adamo",16625,1949,0,0,0,1,1,0,1,0,0,0,0,0,0.5,0.1666666667,0,0.3333333333,0,0,-0.1738369,0.22658999
S038,La casa degli alveari,7418,1949,0,0,0,1,1,0,0,1,0,0,0,0,0.25,0.625,0,0,0.125,0,-0.1606118,-0.0813107
S039,La stessa cosa del sangue,12987,1949,0,0,0,1,1,1,1,0,0,0,0,0,0.3,0.1,0.2,0.4,0,0,-0.0758946,0.25166691
S040,Attesa della morte in un albergo,15582,1949,0,0,0,1,0,1,0,0,0,0,0,0,0.6666666667,0,0.3333333333,0,0,0,-0.2403841,-0.0204665
S041,Uno dei tre è ancora vivo,14887,1949,0,0,0,1,1,1,0,0,0,0,0,0,0.7692307692,0.07692307692,0.1538461538,0,0,0,-0.1436574,0.01316894
S042,L'avventura di un soldato,19767,1949,0,1,1,1,1,1,1,1,1,0,0.01754385965,0.01754385965,0.4210526316,0.2456140351,0.0350877193,0.08771929825,0.05263157895,0.1228070175,0.39384343,0.10770288
S043,Desiderio in novembre,14101,1949,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-0.3492106,-0.0349734
S044,Lettera ad Amelia sui dischi volanti,7633,1950,0,0,0,1,1,0,1,0,0,0,0,0,0.4444444444,0.4444444444,0,0.1111111111,0,0,-0.1738369,0.22658999
S045,Storia del soldato che portò il cannone a casa,11610,1950,0,0,0,1,0,1,0,0,0,0,0,0,0.75,0,0.25,0,0,0,-0.2403841,-0.0204665
S046,"Pesci grossi, pesci piccoli",16862,1950,0,0,0,1,1,0,0,0,0,0,0,0,0.3333333333,0.6666666667,0,0,0,0,-0.2473579,-0.0245459
S047,Cimitero di biciclette,12416,1950,0,0,1,0,1,1,1,0,0,0,0,0.2,0,0.2,0.4,0.2,0,0,-0.0139869,0.20813036
S048,Mai nessuno degli uomini lo seppe,15006,1950,0,0,0,1,0,1,0,0,1,0,0,0,0.4,0,0.4,0,0,0.2,-0.1124515,-0.0463595
S049,Il reggimento smarrito,10193,1951,0,0,1,0,0,1,0,0,1,0,0,0.5,0,0,0.25,0,0,0.25,-0.0518636,-0.1441646
S050,L'avventura di una bagnante,21333,1951,0,0,0,1,1,1,1,0,0,0,0,0,0.3870967742,0.1935483871,0.3870967742,0.03225806452,0,0,-0.0758946,0.25166691
S051,Un compagno venuto da lontano,8251,1952,0,0,1,1,0,0,1,0,0,0,0,0.2,0.2,0,0,0.6,0,0,-0.1373118,0.13296115
S052,Un bel gioco dura poco,11940,1952,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-0.3492106,-0.0349734
S053,Funghi in città,6506,1952,0,0,0,1,1,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,-0.2473579,-0.0245459
S054,La formica argentina,71831,1952,0,1,1,1,1,1,1,0,1,0,0.04761904762,0.04761904762,0.5238095238,0.09523809524,0.1666666667,0.04761904762,0,0.07142857143,0.25900508,0.12666865
S056,La pietanziera,7069,1952,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,-0.3978448,0.23181251
S057,Gli occhi del nemico,7070,1952,0,0,0,1,1,0,0,0,0,0,0,0,0.6666666667,0.3333333333,0,0,0,0,-0.2473579,-0.0245459
S058,La fabbrica occupata,7735,1952,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.3627644,-0.0378739
S059,La ragazza licenziata,7919,1952,0,0,1,0,0,0,1,0,0,0,0,0.5,0,0,0,0.5,0,0,-0.2339204,0.13705317
S060,Le disgrazie di un paese,6734,1953,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.3579855,-0.0668223
S063,La storia di Kim-Ghi-U,10989,1953,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-0.3492106,-0.0349734
S064,Paese infido,17761,1953,1,0,0,1,0,0,0,0,0,0.6666666667,0,0,0.3333333333,0,0,0,0,0,-0.2739168,-0.1805553
S065,Gli avanguardisti a Mentone,51188,1953,1,0,1,1,1,1,1,0,1,0.0487804878,0,0.0243902439,0.6585365854,0.07317073171,0.09756097561,0.0487804878,0,0.0487804878,0.27093265,0.08739688
S066,L'aria buona,7594,1953,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.3579855,-0.0668223
S067,L'entrata in guerra,27190,1949,0,0,0,1,1,1,0,0,0,0,0,0,0.5,0.25,0.25,0,0,0,-0.1436574,0.01316894
S068,L'avventura di un impiegato,17132,1953,0,0,0,1,1,1,0,1,1,0,0,0,0.4736842105,0.1578947368,0.1578947368,0,0.05263157895,0.1578947368,0.06866824,-0.0626266
S070,Il generale in biblioteca,10429,1953,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-0.3492106,-0.0349734
S071,La fabbrica nella montagna,10615,1954,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-0.3492106,-0.0349734
S072,Le notti dell'UNPA,39484,1954,0,1,0,1,1,1,0,0,1,0,0.07692307692,0,0.4615384615,0.1538461538,0.2307692308,0,0,0.07692307692,0.04904447,-0.0647603
S073,La bomba addormentata nel bosco,8394,1954,0,0,0,1,1,1,0,0,0,0,0,0,0.3333333333,0.3333333333,0.3333333333,0,0,0,-0.1436574,0.01316894
S074,Libertà! Libertà!,4546,1954,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-0.3230458,-0.1147098
S075,I mozzatori di nasi,3962,1954,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-0.3492106,-0.0349734
S077,Il dittatore,4114,1954,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.3579855,-0.0668223
S078,Lo jus primae noctis,7027,1954,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,-0.3978448,0.23181251
S079,L'adultera,6306,1954,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-0.3230458,-0.1147098
S080,La lente d'ingrandimento,4042,1954,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-0.3230458,-0.1147098
S081,I Marziani,4019,1954,0,0,1,0,1,1,1,0,0,0,0,0.375,0,0.25,0.25,0.125,0,0,-0.0139869,0.20813036
S082,La domenica delle follie,6485,1954,0,0,0,1,1,0,0,0,0,0,0,0,0.75,0.25,0,0,0,0,-0.2473579,-0.0245459
S083,Il coniglio velenoso,16872,1954,0,0,0,1,1,0,0,0,1,0,0,0,0.6,0.2,0,0,0,0.2,-0.1182107,-0.0499812
S084,L'avventura di un fotografo,26301,1955,0,0,1,1,1,1,1,1,1,0,0,0.04166666667,0.04166666667,0.2083333333,0.4166666667,0.04166666667,0.04166666667,0.2083333333,0.27502246,0.12359309
S086,Luna e Gnac,10513,1957,0,0,0,1,0,0,0,0,1,0,0,0,0.3333333333,0,0,0,0,0.6666666667,-0.2165731,-0.0904604
S089,Dialogo sul satellite,8266,1958,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.3627644,-0.0378739
S090,Monologo notturno d'un nobile scozzese,7421,1958,0,0,0,1,1,1,0,0,1,0,0,0,0.4,0.2,0.2,0,0,0.2,-0.02799,-0.0145213
S091,Una bella giornata di marzo,6351,1958,0,0,0,1,1,1,1,0,1,0,0,0,0.5217391304,0.347826087,0.04347826087,0.04347826087,0,0.04347826087,0.03961892,0.21119445
