id	Fonte	Titolo Fonte	Pubblicazione Fonte	Pubblicazioni Id	Pubblicazioni Titoli	year	Occorrenza	Parte di	Parte di ID	nominato/Generico	Scala	Luogo desunto	I	C	F	Localizzabile	Terrestre	Inventato	Categoria	Start	End	Nota	Tema	Tema_old
L00000	S001	Passatempi	altro	«Roma fascista»	«Roma fascista»	1943	strapiombo			generico			x			no	sì	-	Terrestri generici	32	42		nessuno	nessuno
L00001	S001	Passatempi	altro	«Roma fascista»	«Roma fascista»	1943	piazza			generico					x	no	sì	-	Terrestri generici	2048	2054		nessuno	nessuno
L00002	S001	Passatempi	altro	«Roma fascista»	«Roma fascista»	1943	bar			generico					x	no	sì	-	Terrestri generici	2120	2023		nessuno	nessuno
L00003	S002	Dieci soldi in plastilina	altro	«Roma fascista»	«Roma fascista»	1943	casa			generico						no	sì	-	Terrestri generici	2944	2948		nessuno	nessuno
L00004	S003	Invece era un'altra	altro	«Roma fascista»	«Roma fascista»	1943	prato			generico			x		x	no	sì	-	Terrestri generici	172	177		nessuno	nessuno
L00005	S004	Angoscia in caserma	raccolta	«Aretusa»;V002	«Aretusa»;Ultimo viene il corvo	1945	caserma			generico			x			no	sì	-	Terrestri generici	3634	3641		guerra	guerra
L00006	S004	Angoscia in caserma	raccolta	«Aretusa»;V002	«Aretusa»;Ultimo viene il corvo	1945	alberghetto			generico				x		no	sì	-	Terrestri generici	17804	17815		guerra	guerra
L00007	S004	Angoscia in caserma	raccolta	«Aretusa»;V002	«Aretusa»;Ultimo viene il corvo	1945	paese			generico				x		no	sì	-	Terrestri generici	18019	18024		guerra	guerra
L00008	S004	Angoscia in caserma	raccolta	«Aretusa»;V002	«Aretusa»;Ultimo viene il corvo	1945	collina			generico					x	no	sì	-	Terrestri generici	18610	18617		guerra	guerra
L00009	S005	Andato al comando	raccolta	«Politecnico»;V002;V006	«Politecnico»;Ultimo viene il corvo;I racconti	1946	bosco			generico			x		x	no	sì	-	Terrestri generici	21	26		guerra	guerra
L00010	S005	Andato al comando	raccolta	«Politecnico»;V002;V006	«Politecnico»;Ultimo viene il corvo;I racconti	1946	radura	bosco	L00009	generico			x			no	sì	-	Terrestri generici	1701	1707		guerra	guerra
L00011	S005	Andato al comando	raccolta	«Politecnico»;V002;V006	«Politecnico»;Ultimo viene il corvo;I racconti	1946	brughiera	bosco	L00009	generico						no	sì	-	Terrestri generici	5560	5569		guerra	guerra
L00012	S006	Di padre in figlio	raccolta	«L'Unità» (Milano);V002	«L'Unità» (Milano);Ultimo viene il corvo	1946	vallata			generico			x			no	sì	-	Terrestri generici	678	685		natura ligure	natura ligure
L00013	S006	Di padre in figlio	raccolta	«L'Unità» (Milano);V002	«L'Unità» (Milano);Ultimo viene il corvo	1946	stalla	vallata	L00011	generico					x	no	sì	-	Terrestri generici	6163	6169		natura ligure	natura ligure
L00014	S007	Paura sul sentiero	raccolta	«Darsena nuova»;V002;V006	«Darsena nuova»;Ultimo viene il corvo;I racconti	1946	Colla Bracca			nominato	comune		x			sì	sì	no	Terrestri localizzabili	51	63		guerra;natura ligure	guerra;natura ligure
L00015	S007	Paura sul sentiero	raccolta	«Darsena nuova»;V002;V006	«Darsena nuova»;Ultimo viene il corvo;I racconti	1946	San Faustino			nominato	comune (chiesa)					sì	sì	no	Terrestri localizzabili	178	190	sì	guerra;natura ligure	guerra;natura ligure
L00016	S007	Paura sul sentiero	raccolta	«Darsena nuova»;V002;V006	«Darsena nuova»;Ultimo viene il corvo;I racconti	1946	Perallo			nominato	comune					sì	sì	no	Terrestri localizzabili	226	233		guerra;natura ligure	guerra;natura ligure
L00017	S007	Paura sul sentiero	raccolta	«Darsena nuova»;V002;V006	«Darsena nuova»;Ultimo viene il corvo;I racconti	1946	Creppo			nominato	comune					sì	sì	no	Terrestri localizzabili	235	241		guerra;natura ligure	guerra;natura ligure
L00018	S007	Paura sul sentiero	raccolta	«Darsena nuova»;V002;V006	«Darsena nuova»;Ultimo viene il corvo;I racconti	1946	Castagna			nominato	territorio (colle)				x	sì	sì	no	Terrestri localizzabili	295	303	sì	guerra;natura ligure	guerra;natura ligure
L00019	S007	Paura sul sentiero	raccolta	«Darsena nuova»;V002;V006	«Darsena nuova»;Ultimo viene il corvo;I racconti	1946	vallate			generico						no	sì	-	Terrestri generici	1265	1272		guerra;natura ligure	guerra;natura ligure
L00020	S007	Paura sul sentiero	raccolta	«Darsena nuova»;V002;V006	«Darsena nuova»;Ultimo viene il corvo;I racconti	1946	Tumena (Val)			nominato	territorio					sì	sì	no	Terrestri localizzabili	5071	5077		guerra;natura ligure	guerra;natura ligure
L00021	S007	Paura sul sentiero	raccolta	«Darsena nuova»;V002;V006	«Darsena nuova»;Ultimo viene il corvo;I racconti	1946	bosco			generico						no	sì	-	Terrestri generici	7808	7813		guerra;natura ligure	guerra;natura ligure
L00022	S007	Paura sul sentiero	raccolta	«Darsena nuova»;V002;V006	«Darsena nuova»;Ultimo viene il corvo;I racconti	1946	casolare	Castagna	L00018	generico						sì	sì	-	Terrestri generici	11864	11872		guerra;natura ligure	guerra;natura ligure
