date,nc,na,cc,ca
1943,0,0,0,0
1944,0,0,0,0
1945,3,0,0,0
1946,3,0,2,1
1947,15,1,6,2
1948,1,1,0,0
1949,0,0,1,2
1950,2,0,0,0
1951,0,0,0,0
1952,4,0,4,0
1953,1,1,4,1
1954,6,0,1,0
1955,0,0,0,0
1956,1,0,0,0
1957,0,0,2,1
1958,18,2,9,2
1959,2,0,0,2
1960,0,0,0,0
1961,0,0,0,0
1962,0,0,0,1
1963,9,4,2,2
1964,0,0,10,1
1965,3,1,2,7
1966,0,0,1,0
1967,1,1,3,1
1968,0,0,1,0
1969,0,0,0,0
1970,0,0,0,0
1971,3,0,0,1
1972,8,3,4,5
1973,0,0,2,0
1974,0,0,0,2
1975,0,1,1,2
1976,2,1,0,1
1977,3,0,1,0
1978,0,0,0,0
1979,7,5,18,14
1980,0,0,3,0
1981,0,0,0,2
1982,0,1,0,2
1983,1,0,3,3
1984,0,1,0,0
