id;title;date;generico_cosmico;generico_terrestre;inventato;no_ambientazione;nominato_cosmico;nominato_terrestre;pct_nebbia_normalizzata;pct_cancellazione_normalizzata;pct_nebbia;pct_cancellazione;norma_pct_caratteri_nebbia_cancellazione;nebbia_words_ratio;cancellazione_words_ratio;dubitative_ratio;n_lists_f;n_lists_m;n_lists_p;n_lists_s;text_length;n_generico_cosmico;n_generico_terrestre;n_inventato;n_no_ambientazione;n_nominato_cosmico;n_nominato_terrestre
S001;Passatempi;29/04/1943;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0
S002;Dieci soldi in plastilina;29/04/1943;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36;228;4066;0;1;0;0;0;0
S003;Invece era un'altra;29/04/1943;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
S004;Angoscia in caserma;16/12/1945;0;1;0;0;0;0;0.18;0;100;0;0.15;0.18;0;0.07;4403;315;154;1307;19473;0;4;0;0;0;0
S005;Andato al comando;19/01/1946;0;1;0;0;0;0;0.11;0.3;33;67;0.39;0.06;0.06;0.07;0;0;0;0;0;0;3;0;0;0;0
S006;Di padre in figlio;28/04/1946;0;1;0;0;0;0;0;0;0;0;0;0;0;0;556;0;0;0;8291;0;2;0;0;0;0
S007;Paura sul sentiero;01/06/1946;0;0.222;0;0;0;0.778;0;0.12;0;100;0.12;0;0.03;0.02;712;147;0;139;13175;0;2;0;0;0;7
S008;E il settimo si riposò;09/06/1946;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;227;137;317;12532;0;6;0;0;0;0
S009;Uomo nei gerbidi;23/06/1946;0;0;0;0;0;1;0.28;0;100;0;0.23;0.12;0;0.05;0;0;73;108;9042;0;0;0;0;0;1
S010;Campo di mine;18/08/1946;0;1;0;0;0;0;0;0;0;0;0;0;0;0;132;173;0;157;9702;0;3;0;0;0;0
S011;I fratelli Bagnasco;22/09/1946;0;0.8;0;0;0;0.2;0;0;0;0;0;0;0;0;532;0;0;86;9240;0;4;0;0;0;1
S012;Ragionamento del cugino;29/09/1946;0;0.5;0;0;0;0.5;0;0;0;0;0;0;0;0;0;125;165;0;7490;0;1;0;0;0;1
