id	title
S001	Passatempi
S002	Dieci soldi in plastilina
S003	Invece era un'altra
S004	Angoscia in caserma
S005	Andato al comando
S006	Di padre in figlio
S007	Paura sul sentiero
S008	E il settimo si riposò
S009	Uomo nei gerbidi
S010	Campo di mine
S011	I fratelli Bagnasco
S012	Ragionamento del cugino
S013	Cinque dopodomani: guerra finita!
S014	Alba sui rami nudi
S015	Come non fui Noè (Buon a nulla)
S016	Ultimo viene il corvo
S017	Visti alla mensa
S018	L'occhio del padrone
S019	Come un volo d'anitre
S020	La fame a Bévera
S021	Furto in una pasticceria
S022	Un bastimento carico di granchi
S023	I figli poltroni
S024	Il giardino incantato
S025	Impiccagione di un giudice
S026	Il bosco degli animali
S027	Si dorme come cani
S028	Com'era grande il mare
S029	Il gatto e il poliziotto
S030	Pranzo con un pastore
S031	Voglia di mare
S032	Isabella e Fioravanti
S033	Chi ha messo la mina nel mare?
S034	Dollari e vecchie mondane
S035	Freddo a Napoli
S036	Lasciare Anna
S037	Un pomeriggio, Adamo
S038	La casa degli alveari
S039	La stessa cosa del sangue
S040	Attesa della morte in un albergo
S041	Uno dei tre è ancora vivo
S042	L'avventura di un soldato
S043	Desiderio in novembre
S044	Lettera ad Amelia sui dischi volanti
S045	Storia del soldato che portò il cannone a casa
S046	Pesci grossi, pesci piccoli
S047	Cimitero di biciclette
S048	Mai nessuno degli uomini lo seppe
S049	Il reggimento smarrito
S050	L'avventura di una bagnante
S051	Un compagno venuto da lontano
S052	Un bel gioco dura poco
S053	Funghi in città
S054	La formica argentina
S055	Il piccione comunale
S056	La pietanziera
S057	Gli occhi del nemico
S058	La fabbrica occupata
S059	La ragazza licenziata
S060	Le disgrazie di un paese
S061	Il bosco sull'autostrada
S062	La cura delle vespe
S063	La storia di Kim-Ghi-U
S064	Paese infido
S065	Gli avanguardisti a Mentone
S066	L'aria buona
S067	L'entrata in guerra
S068	L'avventura di un impiegato
S069	Un paese disgraziato
S070	Il generale in biblioteca
S071	La fabbrica nella montagna
S072	Le notti dell'UNPA
S073	La bomba addormentata nel bosco
S074	Libertà! Libertà!
S075	I mozzatori di nasi
S076	Dove va l'avvoltoio?
S077	Il dittatore
S078	Lo jus primae noctis
S079	L'adultera
S080	La lente d'ingrandimento
S081	I Marziani
S082	La domenica delle follie
S083	Il coniglio velenoso
S084	L'avventura di un fotografo
S085	Un viaggio con le mucche
S086	Luna e Gnac
