textID,ID SEQ,SEQ BIG,anno,mese,caratteri,livello,starts_at,ends_at,starts_at norm,ends_at norm,somma ripetizioni,tipologia,categorie di tipologia,struttura/contenuto,Cluster tipolegie
V001,S0001,aggressione/scontro,1947,10,249888,uno,60,3259,0.0,1.3,3199,aggressione/scontro,esteriore,contenuto,interazione
V001,S0002,incontro maschile,1947,10,249888,uno,3260,3948,1.3,1.6,688,incontro maschile,esteriore,contenuto,interazione
V001,S0003,aggressione/scontro,1947,10,249888,uno,3949,5111,1.6,2.0,1162,aggressione/scontro,esteriore,contenuto,interazione
V001,S0004,angoscia/delusione,1947,10,249888,uno,5112,7991,2.0,3.2,2879,angoscia/delusione,interiore,contenuto,angoscia/delusione
V001,S0005,incontro maschile;aggressione/scontro,1947,10,249888,uno,7992,9521,3.2,3.8,1529,incontro maschile,esteriore,contenuto,interazione
V001,S0005,incontro maschile;aggressione/scontro,1947,10,249888,due,8822,9521,3.5,3.8,699,aggressione/scontro,esteriore,contenuto,interazione
V001,S0006,fuga,1947,10,249888,uno,9522,9635,3.8,3.9,113,fuga,esteriore,contenuto,spostamento
V001,S0007,angoscia/delusione,1947,10,249888,uno,9636,11844,3.9,4.7,2208,angoscia/delusione,interiore,contenuto,angoscia/delusione
V001,S0008,incontro di gruppo;aggressione/scontro,1947,10,249888,uno,11845,16408,4.7,6.6,4563,incontro di gruppo,esteriore,contenuto,interazione
V001,S0008,incontro di gruppo;aggressione/scontro,1947,10,249888,due,12220,14491,4.9,5.8,2271,aggressione/scontro,esteriore,contenuto,interazione
V001,S0009,incontro di gruppo;compito/missione,1947,10,249888,due,14492,15168,5.8,6.1,676,compito/missione,esteriore,contenuto,interazione
V001,S0010,incontro di gruppo;aggressione/scontro,1947,10,249888,due,15169,16408,6.1,6.6,1239,aggressione/scontro,esteriore,contenuto,interazione
V001,S0011,fuga,1947,10,249888,uno,16409,17080,6.6,6.8,671,fuga,esteriore,contenuto,spostamento
V001,S0012,angoscia/delusione,1947,10,249888,uno,17081,17217,6.8,6.9,136,angoscia/delusione,interiore,contenuto,angoscia/delusione
V001,S0013,incontro femminile,1947,10,249888,uno,17222,18359,6.9,7.3,1137,incontro femminile,esteriore,contenuto,interazione
V001,S0014,smarrimento/dubbio,1947,10,249888,uno,18360,19408,7.3,7.8,1048,smarrimento/dubbio,interiore,contenuto,smarrimento/dubbio
V001,S0015,iniziativa/piano,1947,10,249888,uno,19409,20182,7.8,8.1,773,iniziativa/piano,esteriore,contenuto,intenzione
V001,S0016,angoscia/delusione,1947,10,249888,uno,20183,22263,8.1,8.9,2080,angoscia/delusione,interiore,contenuto,angoscia/delusione
V001,S0017,successo,1947,10,249888,uno,22264,23813,8.9,9.5,1549,successo,esteriore,contenuto,intenzione
V001,S0018,fuga,1947,10,249888,uno,23814,24046,9.5,9.6,232,fuga,esteriore,contenuto,spostamento
V001,S0019,smarrimento/dubbio;visione,1947,10,249888,uno,24047,27057,9.6,10.8,3010,smarrimento/dubbio,interiore,contenuto,smarrimento/dubbio
V001,S0019,smarrimento/dubbio;visione,1947,10,249888,due,24520,24848,9.8,9.9,328,visione,interiore,contenuto,visione
V001,S0020,smarrimento/dubbio;visione,1947,10,249888,due,25490,26137,10.2,10.5,647,visione,interiore,contenuto,visione
